fid,new,SAMPLE_1,SAMPLE_1_2,SAMPLE_1_3,SAMPLE_1_4,SAMPLE_1_5,SAMPLE_1_6,SAMPLE_1_7,SAMPLE_1_8,SAMPLE_1_9,SAMPLE_1_10,SAMPLE_1_11
173,road,1788,1708,1780,1880,2004,2068,2142,2200,2416,2520,2292
174,road,1696,1581,1715,1848,2081,2290,2414,2599,2876,2840,2448
175,road,1622,1646,1745,1887,2031,2108,2196,2310,2512,2700,2412
176,road,1620,1612,1712,1808,1966,2228,2367,2522,2815,2625,2218
177,road,1560,1497,1609,1645,1932,2366,2535,2688,2909,2696,2191
178,road,1746,1842,1893,1936,2024,2060,2115,2161,2209,2394,2177
179,road,1691,1724,1823,1901,2060,2216,2307,2442,2476,2661,2339
180,road,1705,1785,1942,2051,2330,2665,2770,2973,3056,3009,2556
181,road,1595,1583,1669,1751,1910,2083,2174,2283,2590,2551,2280
182,road,1567,1604,1767,1912,2218,2598,2792,3002,2806,3078,2465
